PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Unnamed: 15
60,1970-01-13 10:37:55,0.644091784954071,-0.3206667602062225,-0.4987012445926666,-0.4833946228027344,9.21934700012207,0.8185076713562012,2.733772039413452,5.564072132110596,-3.6004929542541504,-2.500850200653076,-0.36669921875,-0.8173828125,-0.109619140625, 
61,1970-01-13 15:15:42,0.6438453197479248,-0.3203995525836944,-0.4994793236255646,-0.4830965101718902,9.24565601348877,0.8063145875930786,2.719924211502075,6.301769256591797,-4.881000518798828,-2.9485087394714355,-0.36865234375,-0.81689453125,-0.110595703125, 
62,1970-01-13 19:53:29,0.6435996294021606,-0.3201002180576324,-0.5003097057342529,-0.4827629923820495,9.333412170410156,0.8335894346237183,2.8085553646087646,6.743947505950928,-5.080689907073975,-3.014833450317383,-0.364990234375,-0.8232421875,-0.109375, 
63,1970-01-14 00:31:16,0.6434136033058167,-0.3197899162769317,-0.500960648059845,-0.4825419187545776,9.442601203918455,0.839287281036377,2.9125301837921143,5.944190502166748,-3.797275304794312,-2.955385684967041,-0.363037109375,-0.8232421875,-0.1103515625, 
64,1970-01-14 05:09:03,0.643264651298523,-0.3195903897285461,-0.5013173222541809,-0.4825020432472229,9.454968452453612,0.8802826404571533,2.9299986362457275,3.943696975708008,-2.336441993713379,-2.602711677551269,-0.35986328125,-0.8203125,-0.110107421875, 
65,1970-01-14 09:46:50,0.6432061791419983,-0.3192552328109741,-0.5017805099487305,-0.4823201298713684,9.471845626831056,0.780847430229187,2.685887575149536,5.593667030334473,-2.3572139739990234,-2.3735804557800293,-0.3603515625,-0.81982421875,-0.10546875, 
66,1970-01-14 14:24:37,0.6431552171707153,-0.3185864686965942,-0.5024762153625488,-0.4821059107780456,9.409032821655272,0.8568074107170105,2.840150117874145,7.9539031982421875,-2.3254799842834477,-3.871488332748413,-0.3671875,-0.82373046875,-0.107421875, 
67,1970-01-14 19:02:24,0.643044650554657,-0.3182622194290161,-0.5026863217353821,-0.4822486639022827,9.415203094482422,0.8119585514068604,2.729483127593994,3.459731101989746,-0.743229329586029,-3.391864538192749,-0.365966796875,-0.8154296875,-0.106689453125, 
68,1970-01-14 23:40:11,0.6428897380828857,-0.3179931044578552,-0.5030364990234375,-0.482267677783966,9.33834457397461,0.7634835839271545,2.940573215484619,4.012466907501221,-1.969194412231445,-3.1095998287200928,-0.364501953125,-0.823486328125,-0.10595703125, 
69,1970-01-15 04:17:58,0.6427465081214905,-0.3179018795490265,-0.5030987858772278,-0.4824536442756653,9.524922370910645,0.714410662651062,2.955186128616333,1.722754955291748,-0.8816658854484558,-2.561090469360352,-0.362060546875,-0.819580078125,-0.10888671875, 
70,1970-01-15 08:55:45,0.6428124904632568,-0.3175781667232513,-0.503237783908844,-0.4824341237545013,9.420893669128418,0.7110008001327515,2.857043027877808,4.183316230773926,-0.1733723878860473,-1.9280987977981567,-0.35791015625,-0.825439453125,-0.10302734375, 
71,1970-01-15 13:33:32,0.6428817510604858,-0.3171188831329345,-0.5033543109893799,-0.4825222194194793,9.358790397644045,0.7050178050994873,2.864194631576538,4.324275493621826,0.6203076243400574,-2.817627429962158,-0.3623046875,-0.822509765625,-0.106689453125, 
72,1970-01-15 18:11:19,0.6429475545883179,-0.316644012928009,-0.5035616755485535,-0.482529878616333,9.32538604736328,0.6793226003646851,2.793180227279663,4.975900650024414,0.0839392319321632,-2.724205255508423,-0.361572265625,-0.825927734375,-0.106689453125, 
73,1970-01-15 22:49:06,0.6429644227027893,-0.3162773847579956,-0.5037615299224854,-0.4825391769409179,9.330536842346191,0.750044047832489,2.8433492183685303,4.361528873443604,-0.407715767621994,-2.501220941543579,-0.357666015625,-0.81982421875,-0.103271484375, 
74,1970-01-16 03:26:53,0.642931342124939,-0.3161101341247558,-0.5038599967956543,-0.4825900495052337,9.377802848815918,0.8079054951667786,2.9108564853668213,2.8868777751922607,-0.7037090063095093,-1.9411481618881223,-0.363525390625,-0.825439453125,-0.106689453125, 
75,1970-01-16 08:04:40,0.642862856388092,-0.3160199522972107,-0.5039043426513672,-0.4826941192150116,9.369014739990234,0.863862931728363,2.884633779525757,2.110685110092163,-0.7264914512634277,-1.9086583852767944,-0.36083984375,-0.82666015625,-0.104736328125, 
76,1970-01-16 12:42:27,0.6427555084228516,-0.3159681558609009,-0.5039360523223877,-0.482837826013565,9.333173751831056,0.8900224566459656,2.8401334285736084,1.6721315383911133,-0.8476266264915466,-2.052909135818481,-0.36083984375,-0.82666015625,-0.104736328125, 
77,1970-01-16 17:20:14,0.6425792574882507,-0.3159043788909912,-0.5040183663368225,-0.4830284714698791,9.295770645141602,0.8802531361579895,2.833253860473633,1.582422971725464,-1.168336033821106,-2.639747142791748,-0.359619140625,-0.824462890625,-0.10498046875, 
78,1970-01-16 21:58:01,0.6423275470733643,-0.3158967196941376,-0.5041146874427795,-0.483267992734909,9.289422035217283,0.8633601665496826,2.793924570083618,1.046797513961792,-1.57059645652771,-2.9426302909851074,-0.364501953125,-0.827392578125,-0.107421875, 
79,1970-01-17 02:35:48,0.6420217156410217,-0.3160199522972107,-0.5041712522506714,-0.4835342466831207,9.385156631469728,0.858835756778717,2.900453567504883,0.1317197233438491,-1.9597043991088867,-2.699322462081909,-0.357177734375,-0.825439453125,-0.109375, 
80,1970-01-17 07:13:35,0.6417455077171326,-0.3162323832511902,-0.5040808916091919,-0.4838562309741974,9.440778732299805,0.9057585597038268,2.9836010932922363,-0.8663879632949829,-1.3832651376724243,-2.2136287689208984,-0.358642578125,-0.822265625,-0.105224609375, 
81,1970-01-17 11:51:22,0.641513466835022,-0.316511332988739,-0.503859281539917,-0.4842122793197632,9.37338161468506,0.893211305141449,2.950936079025269,-1.636062502861023,-0.799462080001831,-1.7064975500106812,-0.357421875,-0.8251953125,-0.107177734375, 
82,1970-01-17 16:29:09,0.6413198709487915,-0.3167200088500976,-0.5037091970443726,-0.4844884276390075,9.299834251403809,0.8990257978439331,3.005216360092163,-0.7265297770500183,-0.9221595525741576,-1.6255483627319336,-0.3583984375,-0.82666015625,-0.10888671875, 
83,1970-01-17 21:06:56,0.6410582661628723,-0.3171680569648742,-0.5032757520675659,-0.4849916994571686,9.32657241821289,0.8881881237030029,2.883086681365967,-3.655586004257202,-0.2104724049568176,-1.405701994895935,-0.36181640625,-0.824951171875,-0.10302734375, 
